Filename,Tempo (BPM),Clock Density (Onsets/Sec),Beat Density (Beats/Sec),Onsets per Beat,Pitch SD,Pitch Mean,Pitch Median,Pitch Entropy,Intervallic Variability
Charlie Parker  Jam Session 1952 Full Album.wav,234.90767045454547,3.1751235326221994,1.9495041758318556,1.6286826014452473,3.2238606516305466,4.627659574468085,5.0,3.2695704438737656,4.540664879950375
"Miles Davis- February 18, 1950 WNYC Studio, New York.wav",206.71875,2.881830764196206,1.6950187171154034,1.7001763668430334,3.5967827305985174,5.0285714285714285,4.0,3.481444066167663,5.260637758348884
Original Charlie Parker Quintet - Out of Nowhere.wav,258.3984375,3.191419596047361,1.9787816255301602,1.6128205128205129,3.4765166187512344,6.095238095238095,7.0,2.872947481632925,5.3597526290951345
Thriving On A Riff ⧸ Charlie Parker　The Savoy Recordings.wav,234.90767045454547,4.459471621755826,1.9103874594478283,2.334328358208955,2.9208488534484895,4.044444444444444,3.0,3.027545252116762,4.594901504353575
Charlie Parker - Jam Session (1952) {Full Album}.wav,234.90767045454547,3.076413717970702,1.947817420941295,1.5794158553546593,3.185465947100331,4.6063829787234045,5.0,3.283348680093958,4.47403858468958
"Charlie Parker on The Hymn 1 - October 28, 1947.wav",303.99816176470586,2.6424053590216907,2.3272560960191035,1.1354166666666667,3.739568825412898,4.375,2.0,1.75,6.243363823832046
Charlie Parker - Confirmation (Live At Carnegie Hall) 1947.wav,344.53125,3.2615652441053737,2.840429072476383,1.1482649842271293,3.5996903693970705,6.305084745762712,8.0,3.2009961761070422,5.132055191394074
"Bird inedito. Bird Unissued. Charlie Parker, Sonny Stitt, Hank Mobley, Bud Powell, Birdland 1953..wav",271.9983552631579,0.9263457942771891,2.269547195979113,0.40816326530612246,2.792575236997856,5.868421052631579,6.0,2.555723236501529,4.113261348239243
What Is This Thing Called Love？ (Live At Carnegie Hall⧸1950).wav,215.33203125,3.7835358862646182,1.6509974776427425,2.2916666666666665,3.6392968367606136,5.020408163265306,5.0,3.272446580173025,5.669691288382071
Charlie Parker — ＂Relaxin' At Camarillo＂ (1947) Concert Pitch transcription.wav,191.40625,3.064805116781064,1.5407763428626113,1.9891304347826086,3.3866112564729267,5.555555555555555,5.5,3.044110417748401,4.611554617063444
