Title,Description,Published Date,Video URL
"Maurice Chaillou - You And The Night And The Music - Paris,17.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Gaston Lapeyronnie, Nöel Chiboust, Alex Renard (tp); Guy Paquinet, Pierre ...",2010-06-04T04:48:29Z,https://www.youtube.com/watch?v=Rbl6NT0t1A8
"Patrick et son Orchestre de Danse - Okay, toots! (1934)","Okay, Toots! Patrick et son Orchestre de Danse, disque Pathé, 17 décembre 1934. Haute Qualité / High Quality: ...",2009-01-12T17:52:08Z,https://www.youtube.com/watch?v=wCgWC07YvLM
"Maurice Chaillou - I Get A Kick Out Of You - Oaris, 17.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Gaston Lapeyronnie, Nöel Chiboust, Alex Renard (tp); Guy Paquinet, Pierre ...",2010-06-04T05:05:35Z,https://www.youtube.com/watch?v=bVIFXCRvN3k
"Hildegarde - Darling, Je Vous Aime Beaucoup - 1935 March 4 - Paris","Patrick et son Orchestre (dir. Guy Paquinet) Alex Renard, Gaston Lapeyronnie, Nöel Chiboust (tp); Guy Paquinet, Pierre Deck, ...",2010-05-28T12:18:26Z,https://www.youtube.com/watch?v=oNOOp-IK82Q
"Guy Paquinet - Black Panther Stomp - Paris, 12.12.1934","Patrick et son Orchestre, direction of Guy Paquinet Gaston Lapeyronnie, Alphonse Cox, Nöel Chiboust (tp); Guy Paquinet, Pierre ...",2010-05-23T15:17:53Z,https://www.youtube.com/watch?v=SzlurIhNB_Q
"Guy Paquinet - Miss Otis Regrets - Paris, 08.03.1935","Patrick et son Orchestre (dir. Guy Paquinet) Alex Renard, Gaston Lapeyronnie, Nöel Chiboust (tp); Guy Paquinet, Pierre Deck, ...",2010-05-29T13:03:36Z,https://www.youtube.com/watch?v=n4nO1gC1yr8
"Hildegarde &amp; Django Reinhardt - Darling, Je Vous Aime Beaucoup - Paris, March 04,1935","Patrick et son Orchestre (dir. Guy Paquinet) Alex Renard, Gaston Lapeyronnie, Nöel Chiboust (tp); Guy Paquinet, Pierre Deck, ...",2011-11-26T15:55:52Z,https://www.youtube.com/watch?v=P87Z6FRAKBk
"Django Reinhardt - From Now On - Paris, 12.12.1934","Patrick et son Orchestre de Dance Gaston Lapeyronnie, Alphonse Cox, Nöel Chiboust (tp); Guy Paquinet (alias ""Patrick) (tb,arr ...",2010-05-23T15:09:16Z,https://www.youtube.com/watch?v=13Ih-PpRgno
"Django Reinhardt - From Now On - Paris, 12.12.1934","Patrick et son Orchestre de Dance, direction of Guy Paquinet Gaston Lapeyronnie, Alphonse Cox, Nöel Chiboust (tp); Guy ...",2011-11-21T13:05:13Z,https://www.youtube.com/watch?v=NyGUsQ5k49Q
"Django Reinhardt - Black Panther Stomp - Paris, 12.17.1934","Patrick et son Orchestre, direction of Guy Paquinet Gaston Lapeyronnie, Alphonse Cox, Nöel Chiboust (tp); Guy Paquinet, Pierre ...",2011-11-21T13:38:35Z,https://www.youtube.com/watch?v=RIfhsRWmxJg
